outer_target_domain,budget,selected_control_alpha,selected_exact_constant_offset,selected_inner_domain_equal_control_mae,minimum_baseline_distance_to_range_boundary,inner_domains,outer_target_labels_used_for_selection
SNL,0.02,0.02,0.02,0.07214106850948519,0.22857060057924566,11,False
SNL,0.03,0.03,0.03,0.07166189463667372,0.19625571820161064,11,False
UL_PUR,0.0,0.01,0.0,0.07665889832664911,0.2798421318761488,11,False
UL_PUR,0.0025,0.01,0.0025,0.07608017117296527,0.2798421318761488,11,False
UL_PUR,0.005,0.01,0.005,0.07556552937524663,0.2798421318761488,11,False
UL_PUR,0.0075,0.01,0.0075,0.0751120199145115,0.2798421318761488,11,False
UL_PUR,0.01,0.01,0.01,0.07471799420810463,0.2798421318761488,11,False
UL_PUR,0.015,0.01,0.015,0.07412357412734519,0.2798421318761488,11,False
UL_PUR,0.02,0.015,0.02,0.07360131522022129,0.2798421318761488,11,False
UL_PUR,0.03,0.015,0.024062985352771515,0.07339109031975509,0.2798421318761488,11,False
XJTU,0.0,0.01,0.0,0.07163127499028772,0.30536642802610237,11,False
XJTU,0.0025,0.015,0.0025,0.07114449460758906,0.28955570678439657,11,False
XJTU,0.005,0.015,0.005,0.07067748277571252,0.28955570678439657,11,False
XJTU,0.0075,0.015,0.0075,0.07028166264166846,0.28955570678439657,11,False
XJTU,0.01,0.015,0.01,0.06996911140112184,0.28955570678439657,11,False
XJTU,0.015,0.02,0.015,0.06944737552325306,0.2526988873530343,11,False
XJTU,0.02,0.03,0.02,0.06912981909627786,0.21683161955686076,11,False
XJTU,0.03,0.03,0.02534049323783405,0.06893523247344491,0.21683161955686076,11,False
