domain,budget,physical_cells,prediction_rows,selected_pchp_alpha,selected_control_alpha,selected_control_offset,baseline_cell_macro_mae,pchp_cell_macro_mae,control_cell_macro_mae,pchp_minus_baseline,pchp_minus_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_cell_macro_pchp_harm,pchp_nonincreasing,baseline_nonincreasing,control_nonincreasing
MATR,0.0075,169,139148,0.015,0.015,0.0075,0.05078703072873228,0.04959165543443661,0.04564434604791556,-0.0011953752942956697,0.003947309386521047,0.007500000000000062,0.007499999999999951,0.006426903958080286,True,True,True
MATR,0.01,169,139148,0.015,0.02,0.01,0.05078703072873228,0.0494696776323124,0.04523191588188931,-0.0013173530964198793,0.004237761750423091,0.010000000000000009,0.010000000000000009,0.008668571099987053,True,True,True
MATR,0.015,169,139148,0.01,0.02,0.015,0.048498260637886426,0.04765456937613388,0.042124982744686464,-0.0008436912617525438,0.005529586631447418,0.015000000000000013,0.015000000000000013,0.013261121383277792,True,True,True
MATR,0.02,169,139148,0.01,0.03,0.02,0.048498260637886426,0.0481135190231651,0.04053334427014575,-0.0003847416147213234,0.00758017475301935,0.020000000000000018,0.020000000000000018,0.017702136452405932,True,True,True
MATR,0.03,169,139148,0.01,0.05,0.027490967987328307,0.048498260637886426,0.04950168599794383,0.03811185884826762,0.0010034253600574028,0.011389827149676207,0.030000000000000027,0.030000000000000027,0.02581178373647594,True,True,True
MICH,0.0,40,19681,0.015,0.015,0.0,0.10472857361606029,0.10472857361606029,0.10472857361606029,0.0,0.0,0.0,0.0,0.0,True,True,True
MICH,0.0025,40,19681,0.015,0.015,0.0025,0.10472857361606029,0.10257506902516701,0.10441311167576067,-0.0021535045908932793,-0.0018380426505936603,0.0025000000000000022,0.0024999999999999467,-0.0019376380667878654,True,True,True
MICH,0.005,40,19681,0.015,0.02,0.005,0.10472857361606029,0.10052609136513231,0.10230299592908591,-0.00420248225092798,-0.0017769045639536019,0.0050000000000000044,0.0050000000000000044,-0.00379952320193859,True,True,True
MICH,0.0075,40,19681,0.015,0.02,0.0075,0.10472857361606029,0.09867532554931226,0.1020385162465512,-0.006053248066748035,-0.003363190697238949,0.007500000000000007,0.007499999999999951,-0.005431012202464419,True,True,True
MICH,0.01,40,19681,0.015,0.02,0.01,0.10472857361606029,0.09698496153762938,0.10190234762483735,-0.0077436120784309115,-0.004917386087207973,0.010000000000000009,0.010000000000000009,-0.006825895260607617,True,True,True
MICH,0.015,40,19681,0.015,0.03,0.015,0.10472857361606029,0.09405620850798369,0.09937034931715788,-0.010672365108076606,-0.005314140809174195,0.015000000000000013,0.015000000000000013,-0.008598439701641009,True,True,True
MICH,0.02,40,19681,0.015,0.05,0.02,0.10472857361606029,0.0917854620450203,0.09655156309259122,-0.012943111571039986,-0.004766101047570914,0.020000000000000018,0.020000000000000018,-0.009101255413390325,True,True,True
MICH,0.03,40,19681,0.01,0.05,0.021517232826120836,0.10778760313066224,0.09403470015520878,0.09673538304631779,-0.013752902975453465,-0.002700682891109016,0.030000000000000027,0.030000000000000027,-0.008130873337260272,True,True,True
