domain,cell_id,pchp_cell_mae,control_cell_mae,prediction_rows,pchp_minus_control
MATR,MATR/MATR_b3c28,0.017983027908012726,0.014999643050989546,534,0.0029833848570231802
MATR,MATR/MATR_b3c29,0.03706234087477438,0.02459770361958804,851,0.012464637255186338
MATR,MATR/MATR_b3c3,0.04929393168037781,0.034487895606149684,1108,0.014806036074228125
MATR,MATR/MATR_b3c30,0.04554220645749708,0.03174255872492604,928,0.013799647732571037
MATR,MATR/MATR_b3c31,0.048642428008659644,0.04277210972267259,724,0.005870318285987053
MATR,MATR/MATR_b3c33,0.04151937410333436,0.029391070693553716,1277,0.012128303409780643
MATR,MATR/MATR_b3c34,0.04557566117933632,0.032172187970417494,1151,0.013403473208918826
MATR,MATR/MATR_b3c35,0.035734462440210495,0.02597416940269689,1086,0.009760293037513603
MATR,MATR/MATR_b3c36,0.044098938350517335,0.02818072783370408,916,0.015918210516813254
MATR,MATR/MATR_b3c38,0.05379532367211975,0.038611264936325496,1928,0.015184058735794252
MATR,MATR/MATR_b3c39,0.05185890001779177,0.03741267413796158,1149,0.014446225879830188
MATR,MATR/MATR_b3c4,0.036358781024568756,0.02760412348524099,1041,0.008754657539327765
MATR,MATR/MATR_b3c40,0.03296816542232979,0.01994399827173012,789,0.013024167150599671
MATR,MATR/MATR_b3c41,0.04061697459348138,0.02871203334458791,779,0.01190494124889347
MATR,MATR/MATR_b3c44,0.04984969570772727,0.03473522384104801,933,0.01511447186667926
MATR,MATR/MATR_b3c45,0.04044546556762615,0.04087133846612452,1794,-0.0004258728984983737
MATR,MATR/MATR_b3c5,0.03767066856082038,0.02574331548100267,821,0.01192735307981771
MATR,MATR/MATR_b3c6,0.01716976056950488,0.015333034796589198,660,0.001836725772915682
MATR,MATR/MATR_b3c7,0.042147607259443554,0.043074991432004196,1829,-0.0009273841725606427
MATR,MATR/MATR_b3c8,0.03367749382999975,0.0190897933387938,821,0.014587700491205953
MATR,MATR/MATR_b3c9,0.05388850257432813,0.038795259715227036,1032,0.015093242859101096
MATR,MATR/MATR_b4c0,0.04144140648282444,0.04104620348272761,977,0.000395203000096829
MATR,MATR/MATR_b4c1,0.04254379872840294,0.04222780280272897,856,0.00031599592567397444
MATR,MATR/MATR_b4c10,0.0725134121896,0.07113687144564644,1077,0.001376540743953561
MATR,MATR/MATR_b4c11,0.04715133796506342,0.04041703477875343,925,0.006734303186309992
MATR,MATR/MATR_b4c12,0.05045592630578387,0.04974980958573626,893,0.0007061167200476115
MATR,MATR/MATR_b4c13,0.05454610217722621,0.05384647877002399,864,0.0006996234072022198
MATR,MATR/MATR_b4c14,0.08622010003917534,0.08354679431366166,762,0.0026733057255136777
MATR,MATR/MATR_b4c15,0.09456406209752535,0.0965612262458765,866,-0.0019971641483511465
MATR,MATR/MATR_b4c16,0.07279017960240555,0.06919927401135488,978,0.003590905591050672
MATR,MATR/MATR_b4c17,0.06644529287959192,0.06500194913110593,925,0.0014433437484859812
