outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
HNEI,MICH,0.014999999999999999,40,19681,0.082880580627661668
HNEI,MICH,0.01,40,19681,0.095731925479488542
HNEI,MICH,0.0050000000000000001,40,19681,0.11741728973904278
HNEI,MICH_EXP,1,18,6455,0.21417207381641554
HNEI,MICH_EXP,0.5,18,6455,0.12378986069970768
HNEI,MICH_EXP,0.20000000000000001,18,6455,0.069642508011421744
HNEI,MICH_EXP,0.10000000000000001,18,6455,0.055599182830929759
HNEI,MICH_EXP,0.050000000000000003,18,6455,0.052202798494389878
HNEI,MICH_EXP,0.029999999999999999,18,6455,0.053106111748583366
HNEI,MICH_EXP,0.02,18,6455,0.054547245295906793
HNEI,MICH_EXP,0.014999999999999999,18,6455,0.055791771338441008
HNEI,MICH_EXP,0.01,18,6455,0.058018148771416596
HNEI,MICH_EXP,0.0050000000000000001,18,6455,0.066826049208301472
HNEI,RWTH,1,48,105140,0.23005536614644664
HNEI,RWTH,0.5,48,105140,0.23049680850384299
