domain,cell_id,records,comparator_alpha,baseline_mae,pchp_mae,source_tuned_causal_candidate_mae,pchp_max_displacement,source_tuned_candidate_max_displacement,pchp_violation_records,source_tuned_candidate_violation_records,pchp_minus_baseline,source_tuned_candidate_minus_baseline,pchp_minus_source_tuned_candidate,pchp_violates,source_tuned_candidate_violates
HUST,HUST/HUST_1-8,2280,0.050000000000000003,0.031183689167676786,0.024115479952109109,0.022377495334620759,0.010000000000000009,0.02684870071228318,0,1218,-0.0070682092155676772,-0.0088061938330560273,0.0017379846174883501,False,True
HUST,HUST/HUST_10-1,1697,0.050000000000000003,0.029198394680756204,0.02425402401105305,0.024551560860089371,0.010000000000000009,0.027725201879405637,0,1314,-0.0049443706697031541,-0.0046468338206668326,-0.00029753684903632144,False,True
HUST,HUST/HUST_10-2,1692,0.050000000000000003,0.038684844205033916,0.039175349761359779,0.049428433269950944,0.010000000000000009,0.034955721938509932,0,1684,0.00049050555632586257,0.010743589064917028,-0.010253083508591165,False,True
HUST,HUST/HUST_10-3,1843,0.050000000000000003,0.032648151050671925,0.030776358124737307,0.029125464357542704,0.010000000000000009,0.03223555115348431,0,1285,-0.0018717929259346178,-0.0035226866931292213,0.0016508937671946035,False,True
HUST,HUST/HUST_10-4,1806,0.050000000000000003,0.035483914790884197,0.031705568172372731,0.033352899013992771,0.010000000000000009,0.038052921050187427,0,1659,-0.0037783466185114661,-0.0021310157768914262,-0.00164733084162004,False,True
HUST,HUST/HUST_10-5,2025,0.050000000000000003,0.037263013513819852,0.035134689239256216,0.038194133437742264,0.010000000000000009,0.040339569823908406,0,1924,-0.0021283242745636366,0.00093111992392241189,-0.0030594441984860485,False,True
HUST,HUST/HUST_10-6,2280,0.050000000000000003,0.037874662417410526,0.032571650266452937,0.033799639019064687,0.010000000000000009,0.02852132194332202,0,1651,-0.0053030121509575895,-0.0040750233983458395,-0.00122798875261175,False,True
HUST,HUST/HUST_10-7,1778,0.050000000000000003,0.035088612307400194,0.033643036406185066,0.042856369573090108,0.010000000000000009,0.04340327849521386,0,1744,-0.0014455759012151279,0.0077677572656899146,-0.0092133331669050425,False,True
HUST,HUST/HUST_10-8,1395,0.050000000000000003,0.028715434253651157,0.025446430234526016,0.022984243452881685,0.010000000000000009,0.0340343983478123,0,1105,-0.0032690040191251414,-0.0057311908007694722,0.0024621867816443307,False,True
HUST,HUST/HUST_2-2,2646,0.050000000000000003,0.033107680195857865,0.033417667299609884,0.038872361231707064,0.010000000000000009,0.024901196762811328,0,2048,0.00030998710375201854,0.0057646810358491993,-0.0054546939320971807,False,True
HUST,HUST/HUST_2-3,1746,0.050000000000000003,0.039048829270887965,0.03516696558099517,0.039176861058604892,0.010000000000000009,0.056224024830144437,0,1672,-0.003881863689892795,0.00012803178771692708,-0.004009895477609722,False,True
HUST,HUST/HUST_2-4,1494,0.050000000000000003,0.026832595861428402,0.021781078028267405,0.020425716001487893,0.010000000000000009,0.03744161851584149,0,859,-0.005051517833160997,-0.0064068798599405084,0.0013553620267795115,False,True
HUST,HUST/HUST_2-5,1381,0.050000000000000003,0.03789754292792729,0.034580865494097356,0.046112658573011021,0.010000000000000009,0.072782092069896387,0,1381,-0.0033166774338299343,0.0082151156450837315,-0.011531793078913666,False,True
HUST,HUST/HUST_2-6,1567,0.050000000000000003,0.035095388043992877,0.032820389947263828,0.040145855130597735,0.010000000000000009,0.042753931301021897,0,1567,-0.0022749980967290487,0.0050504670866048582,-0.0073254651833339068,False,True
HUST,HUST/HUST_2-7,2197,0.050000000000000003,0.036097681258009703,0.033777851565544241,0.042833809255169365,0.010000000000000009,0.050630048169142627,0,2197,-0.0023198296924654624,0.0067361279971596619,-0.0090559576896251243,False,True
HUST,HUST/HUST_2-8,1476,0.050000000000000003,0.030881667524339091,0.026022882484258974,0.014736711556976178,0.010000000000000009,0.063229418358704659,0,631,-0.0048587850400801172,-0.016144955967362914,0.011286170927282796,False,True
HUST,HUST/HUST_3-1,1933,0.050000000000000003,0.038091031218605222,0.036973007026197109,0.042384002519165347,0.010000000000000009,0.038657516677320314,0,1846,-0.0011180241924081125,0.004292971300560125,-0.0054109954929682375,False,True
HUST,HUST/HUST_3-2,2278,0.050000000000000003,0.039102787453015576,0.038929195067174793,0.047524922869522798,0.010000000000000009,0.04118933798686164,0,2270,-0.00017359238584078313,0.0084221354165072218,-0.0085957278023480049,False,True
HUST,HUST/HUST_3-3,1644,0.050000000000000003,0.035795346958720782,0.03550143926400727,0.045739340734142618,0.010000000000000009,0.037649418433325144,0,1644,-0.00029390769471351191,0.009943993775421836,-0.010237901470135348,False,True
HUST,HUST/HUST_3-4,1761,0.050000000000000003,0.031434715964262033,0.029603665147959573,0.032098505016277548,0.010000000000000009,0.025331987056071537,0,1412,-0.0018310508163024604,0.00066378905201551486,-0.0024948398683179752,False,True
HUST,HUST/HUST_3-5,2652,0.050000000000000003,0.041959177780249809,0.040532319745839346,0.045643209868251156,0.010000000000000009,0.03100439184659054,0,1749,-0.0014268580344104637,0.0036840320880013461,-0.0051108901224118097,False,True
HUST,HUST/HUST_3-6,2486,0.050000000000000003,0.038004872649989051,0.037118952202722356,0.042454950932063404,0.010000000000000009,0.042582335093736767,0,2459,-0.00088592044726669428,0.0044500782820743531,-0.0053359987293410474,False,True
HUST,HUST/HUST_3-7,2474,0.050000000000000003,0.03604365532930958,0.030576278241529031,0.033070581459511458,0.010000000000000009,0.025172399095748754,0,1463,-0.0054673770877805491,-0.0029730738697981221,-0.002494303217982427,False,True
