domain,cell_id,records,cell_mae,cell_rmse,method
MATR,MATR/MATR_b4c1,856,0.04683859289984691,0.06269137103755698,selected_causal_baseline
MATR,MATR/MATR_b4c10,1077,0.07566376275126727,0.1099550535000168,selected_causal_baseline
MATR,MATR/MATR_b4c11,925,0.04644695705169565,0.05105716043218766,selected_causal_baseline
MATR,MATR/MATR_b4c12,893,0.055945033785123985,0.06141147557768936,selected_causal_baseline
MATR,MATR/MATR_b4c13,864,0.059610602544010786,0.06891793669569382,selected_causal_baseline
MATR,MATR/MATR_b4c14,762,0.08794737988420619,0.11071922893723465,selected_causal_baseline
MATR,MATR/MATR_b4c15,866,0.10082716720227407,0.13468626380728377,selected_causal_baseline
MATR,MATR/MATR_b4c16,978,0.07589614459754183,0.08022724455783492,selected_causal_baseline
MATR,MATR/MATR_b4c17,925,0.07127884851167232,0.07528880969357957,selected_causal_baseline
MATR,MATR/MATR_b4c18,1052,0.06492141909797508,0.07941917464280929,selected_causal_baseline
MATR,MATR/MATR_b4c19,1106,0.08029432965323667,0.08563363352976464,selected_causal_baseline
MATR,MATR/MATR_b4c2,779,0.046122156533605296,0.05007602994871381,selected_causal_baseline
MATR,MATR/MATR_b4c20,799,0.04031743418943958,0.04435141780646503,selected_causal_baseline
MATR,MATR/MATR_b4c21,898,0.058619052820791134,0.08180903860943332,selected_causal_baseline
MATR,MATR/MATR_b4c22,740,0.0727814138368792,0.07728865798784039,selected_causal_baseline
MATR,MATR/MATR_b4c23,1089,0.06029317345764639,0.06493442289825663,selected_causal_baseline
MATR,MATR/MATR_b4c24,1110,0.0544979113445399,0.06549007567976534,selected_causal_baseline
MATR,MATR/MATR_b4c25,562,0.08947039963929485,0.10889316204668562,selected_causal_baseline
MATR,MATR/MATR_b4c26,574,0.08807908075401047,0.1063363038593103,selected_causal_baseline
MATR,MATR/MATR_b4c27,558,0.0686259277562446,0.07427374694406076,selected_causal_baseline
MATR,MATR/MATR_b4c28,877,0.05565067831547755,0.0597203512061548,selected_causal_baseline
MATR,MATR/MATR_b4c29,951,0.0469708769929925,0.052091839204969806,selected_causal_baseline
MATR,MATR/MATR_b4c3,906,0.07912458213499554,0.09251000068325754,selected_causal_baseline
MATR,MATR/MATR_b4c30,714,0.04996174011108121,0.06730118471606837,selected_causal_baseline
MATR,MATR/MATR_b4c31,827,0.15799338783071207,0.2268786124250829,selected_causal_baseline
MATR,MATR/MATR_b4c32,834,0.07444537523750913,0.0787625993997129,selected_causal_baseline
MATR,MATR/MATR_b4c33,525,0.0664644269240719,0.06891482513942461,selected_causal_baseline
MATR,MATR/MATR_b4c34,992,0.04654180394963638,0.052383803470417836,selected_causal_baseline
MATR,MATR/MATR_b4c35,1126,0.04527258832243362,0.04996064241024993,selected_causal_baseline
MATR,MATR/MATR_b4c36,708,0.08876973214305285,0.10325107717505325,selected_causal_baseline
MATR,MATR/MATR_b4c37,1000,0.07689606160375875,0.08357806364416356,selected_causal_baseline
MATR,MATR/MATR_b4c38,1225,0.05010646637695644,0.05372478195777621,selected_causal_baseline
MATR,MATR/MATR_b4c39,756,0.06923154283616755,0.072664176834948,selected_causal_baseline
MATR,MATR/MATR_b4c4,907,0.14656312299169524,0.20918437547491114,selected_causal_baseline
MATR,MATR/MATR_b4c40,1117,0.046999605863017394,0.05066812237824537,selected_causal_baseline
MATR,MATR/MATR_b4c41,992,0.07172530958343583,0.1041867508169555,selected_causal_baseline
MATR,MATR/MATR_b4c42,910,0.06198325973615731,0.08528545388762197,selected_causal_baseline
MATR,MATR/MATR_b4c43,946,0.07780909240230217,0.11706485344259122,selected_causal_baseline
MATR,MATR/MATR_b4c44,1072,0.06516520779615147,0.07246748652459424,selected_causal_baseline
MATR,MATR/MATR_b4c5,1062,0.060590630439963974,0.07558292901786981,selected_causal_baseline
MATR,MATR/MATR_b4c6,772,0.06716075293959116,0.07039849642897858,selected_causal_baseline
MATR,MATR/MATR_b4c7,557,0.06911286502436054,0.07162927771617661,selected_causal_baseline
MATR,MATR/MATR_b4c8,713,0.03818314570780054,0.04270576030003393,selected_causal_baseline
MATR,MATR/MATR_b4c9,524,0.07587058857035263,0.0859262014245319,selected_causal_baseline
SDU,SDU/SDU_Battery_1,956,0.07330326166809216,0.07954154597524726,selected_causal_baseline
SDU,SDU/SDU_Battery_10,431,0.03581755453179788,0.042238492948671276,selected_causal_baseline
SDU,SDU/SDU_Battery_11,550,0.05433132111175289,0.059651360257513525,selected_causal_baseline
SDU,SDU/SDU_Battery_12,481,0.04347854637882646,0.050215688237727554,selected_causal_baseline
SDU,SDU/SDU_Battery_13,516,0.043721036407117525,0.05004595299026139,selected_causal_baseline
SDU,SDU/SDU_Battery_14,506,0.03981902095353641,0.04547634224673366,selected_causal_baseline
