domain,cell_id,cell_mae,method
MATR,MATR/MATR_b3c25,0.03566331062618427,pointwise_tube
MATR,MATR/MATR_b3c26,0.030195572325245616,pointwise_tube
MATR,MATR/MATR_b3c27,0.03038445706000398,pointwise_tube
MATR,MATR/MATR_b3c28,0.014029537483674972,pointwise_tube
MATR,MATR/MATR_b3c29,0.0261397988581154,pointwise_tube
MATR,MATR/MATR_b3c3,0.03909205724842101,pointwise_tube
MATR,MATR/MATR_b3c30,0.032893189143223686,pointwise_tube
MATR,MATR/MATR_b3c31,0.04261699424096018,pointwise_tube
MATR,MATR/MATR_b3c33,0.02981052483144921,pointwise_tube
MATR,MATR/MATR_b3c34,0.0316752045407423,pointwise_tube
MATR,MATR/MATR_b3c35,0.0272448975529974,pointwise_tube
MATR,MATR/MATR_b3c36,0.03344264986016646,pointwise_tube
MATR,MATR/MATR_b3c38,0.040621646812727265,pointwise_tube
MATR,MATR/MATR_b3c39,0.0378020421540077,pointwise_tube
MATR,MATR/MATR_b3c4,0.02707911791137372,pointwise_tube
MATR,MATR/MATR_b3c40,0.024122265375037876,pointwise_tube
MATR,MATR/MATR_b3c41,0.03019626593752187,pointwise_tube
MATR,MATR/MATR_b3c44,0.037095208496810195,pointwise_tube
MATR,MATR/MATR_b3c45,0.03908239030486973,pointwise_tube
MATR,MATR/MATR_b3c5,0.027299619417206978,pointwise_tube
MATR,MATR/MATR_b3c6,0.013751246251649158,pointwise_tube
MATR,MATR/MATR_b3c7,0.04090995626554119,pointwise_tube
MATR,MATR/MATR_b3c8,0.026984627396173657,pointwise_tube
MATR,MATR/MATR_b3c9,0.04303786699715812,pointwise_tube
MATR,MATR/MATR_b4c0,0.038474302867077335,pointwise_tube
MATR,MATR/MATR_b4c1,0.04188941175063321,pointwise_tube
MATR,MATR/MATR_b4c10,0.06800699712403108,pointwise_tube
MATR,MATR/MATR_b4c11,0.03885723089919057,pointwise_tube
MATR,MATR/MATR_b4c12,0.04826876795750737,pointwise_tube
MATR,MATR/MATR_b4c13,0.05190900013208997,pointwise_tube
MATR,MATR/MATR_b4c14,0.08088122254225187,pointwise_tube
MATR,MATR/MATR_b4c15,0.09255679904564003,pointwise_tube
MATR,MATR/MATR_b4c16,0.06766911098747802,pointwise_tube
MATR,MATR/MATR_b4c17,0.0630604948915293,pointwise_tube
MATR,MATR/MATR_b4c18,0.05657933545440955,pointwise_tube
