domain,cell_id,method,rows,mae,rmse,trajectory_increase_fraction,maximum_predicted_increase
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,raw_pooled,1076,0.03537460555843554,0.053119183925615446,0.2055813953488372,0.5889564824578852
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,raw_pooled,1076,0.039934700569094685,0.05915600850049619,0.18511627906976744,0.554333686318588
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,raw_pooled,1076,0.06555272657747829,0.08384895404670595,0.1786046511627907,0.565513038478783
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,raw_pooled,1074,0.06427765640971883,0.08282238825234851,0.18173345759552656,0.580189756306863
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,raw_pooled,1082,0.03765828191103904,0.052355282430092964,0.17853839037927843,0.4857123780632815
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,raw_pooled,1078,0.04526690187526052,0.06003968758740152,0.18012999071494892,0.5032103930640859
HUST,HUST/HUST_1-1,raw_pooled,1499,0.028445907743656768,0.04085191929900727,0.16822429906542055,0.0086972636978212
HUST,HUST/HUST_1-2,raw_pooled,2673,0.035972765674320874,0.05135939783677164,0.19461077844311378,0.007614756637994602
HUST,HUST/HUST_1-3,raw_pooled,1853,0.043727986302539414,0.04898960930008822,0.265658747300216,0.006880647999472522
HUST,HUST/HUST_1-4,raw_pooled,1495,0.04137768440858774,0.0472286222498396,0.2215528781793842,0.00406665562219799
HUST,HUST/HUST_1-5,raw_pooled,1966,0.04486315230769092,0.049891938128239374,0.24580152671755726,0.006593228489011338
HUST,HUST/HUST_1-6,raw_pooled,1138,0.031992579205976646,0.05102480726074647,0.24450307827616535,0.009304263647354483
HUST,HUST/HUST_1-7,raw_pooled,1673,0.02894756471397216,0.043786128990924336,0.17045454545454544,0.006545569979203969
HUST,HUST/HUST_1-8,raw_pooled,2280,0.03360982041006782,0.048224413761595246,0.1636682755594559,0.006084360016959778
HUST,HUST/HUST_10-1,raw_pooled,1697,0.029286494693163686,0.043228902480758606,0.14445754716981132,0.006003829913500458
HUST,HUST/HUST_10-2,raw_pooled,1692,0.03896845803903958,0.0521724302785812,0.23477232406859846,0.005437985770415987
HUST,HUST/HUST_10-3,raw_pooled,1843,0.03285354429687362,0.04942086988725379,0.21878393051031486,0.005714367806204601
HUST,HUST/HUST_10-4,raw_pooled,1806,0.0359718493697253,0.04423634224253031,0.29584487534626036,0.011931348747765691
HUST,HUST/HUST_10-5,raw_pooled,2025,0.03805944033217204,0.04619117200230855,0.266304347826087,0.005284455595679471
HUST,HUST/HUST_10-6,raw_pooled,2280,0.03842256509454989,0.05703335458711187,0.19745502413339183,0.00571436780620449
HUST,HUST/HUST_10-7,raw_pooled,1778,0.03675862248395727,0.04651957333644176,0.2684299380979178,0.006061525105335974
HUST,HUST/HUST_10-8,raw_pooled,1395,0.028007540987628685,0.04443699817211563,0.18220946915351507,0.005933798525830647
HUST,HUST/HUST_2-2,raw_pooled,2646,0.03374803542525186,0.05083856731790603,0.16257088846880907,0.005137225804996648
HUST,HUST/HUST_2-3,raw_pooled,1746,0.041332304534590775,0.046490934732628025,0.22750716332378224,0.0058656683513163
HUST,HUST/HUST_2-4,raw_pooled,1494,0.028221685516820583,0.044351246186315064,0.2217012726054923,0.006624091593354531
HUST,HUST/HUST_2-5,raw_pooled,1381,0.04258066863344735,0.047097539159845776,0.2826086956521739,0.009811408515879694
HUST,HUST/HUST_2-6,raw_pooled,1567,0.036647621438668,0.044311945584484536,0.2656449553001277,0.005801989233436
HUST,HUST/HUST_2-7,raw_pooled,2197,0.03764520927105485,0.04469191841707505,0.319672131147541,0.005571856030784361
HUST,HUST/HUST_2-8,raw_pooled,1476,0.03060502734523835,0.04684217081412644,0.2088135593220339,0.011571128219980409
HUST,HUST/HUST_3-1,raw_pooled,1933,0.038315909339244815,0.047131179016831413,0.2463768115942029,0.005600330800288544
HUST,HUST/HUST_3-2,raw_pooled,2278,0.03953616741519748,0.04869995171842876,0.31357048748353095,0.00509844409900595
